head,head,head,head,head,head
0,0,14.28571429,15.38461538,0,0
0,0,6.25,9.090909091,0,0
0,0,12.5,25,0,0
0,0,5.882352941,12.5,0,0
0,0,7.692307692,16.66666667,0,0
0,0,9.090909091,7.142857143,0,0
0,0,7.142857143,20,0,0
0,0,17.64705882,30,0,0
0,0,9.090909091,9.090909091,0,0
0,0,23.07692308,20,0,0
0,0,7.692307692,10,0,0
0,0,13.33333333,22.22222222,0,0
0,0,14.28571429,18.18181818,0,0
0,0,6.25,10,0,0
